protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D1,8IRR,Oc1ccc2c(Oc3cc(O)ccc3C22OC(=O)c3cc(NC(=S)Nc4ccc(cc4)C4CNCCc5cc(O)c(O)cc45)ccc23)c1,Ki,10000,5
Dopamine RECEPTOR D1,8IRR,OC1(CCN(CCCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccc(Cl)c(c1)C(F)(F)F,Ki,10000,5
Dopamine RECEPTOR D1,8IRR,COc1ccc(cc1)N(CCCCN1CCC(O)(CC1)c1ccc(Cl)c(c1)C(F)(F)F)c1ccc(OC)cc1,Ki,10000,5
Dopamine RECEPTOR D1,8IRR,Clc1cccc(N2CCN(CCCCNC(=O)c3cc4ccccc4s3)CC2)c1Cl,Ki,8800,5.055517328
Dopamine RECEPTOR D1,8IRR,CCCN1CCCN(CC1)c1ccc(O)c2NC(=O)COc12,Ki,8800,5.055517328
Dopamine RECEPTOR D1,8IRR,CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12,Ki,8700,5.060480747
Dopamine RECEPTOR D1,8IRR,CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12,Ki,8700,5.060480747
Dopamine RECEPTOR D1,8IRR,CCCN(CCCCOc1ccc2ccnn2c1)[C@@H]1CCc2c(O)cccc2C1,Ki,8600,5.065501549
Dopamine RECEPTOR D1,8IRR,COc1ccccc1-c1cc2c([nH]1)[nH]c(=O)n(CCN1CCN(CC1)c1ccccc1Cl)c2=O,Ki,8550,5.068033885
Dopamine RECEPTOR D1,8IRR,CCN(CC)[C@H]1[C@H](CO)[C@@H]2CN(Cc3ccccc3)[C@H]([C@H]12)c1ccc(Br)cc1,Ki,8000,5.096910013
Dopamine RECEPTOR D1,8IRR,CCc1cc(Cl)c(OC)c(c1)N1CCN(CC[C@H]2CC[C@@H](CC2)NC(=O)NC)CC1,Ki,8000,5.096910013
