protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D2,8IRS,C(N1CCC(CC1)n1cccc1C#Cc1ccccc1)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,C([C@H]1CNC(=N1)c1ccccc1)N1CCN(CC1)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,Cn1c(SCCCN2CCOC(C2)c2ccc(cc2)C(F)(F)F)nnc1-c1cnccn1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,Cc1ncoc1-c1nnc(SCCCN2CCOC(C2)c2ccc(cc2F)C(F)(F)F)n1C,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,Cn1c(SCCCN2CCOC(C2)c2ccc(cc2)C(F)(F)F)nnc1-c1ccc(cc1)C(N)=O,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,Cn1c(SCCCN2CCOC(C2)c2ccc(cc2)C(F)(F)F)nnc1-c1ccc(cc1)C#N,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,Cn1c(SCCCN2CCOC(C2)c2ccc(cc2)C(F)(F)F)nnc1-c1ccc(cc1)-n1cnnc1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,CN1C2CCC1CC1(C2)OC=C(C1=O)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,CN1CCC2(CC1)OC(C)(CC2=O)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,O=C1C(=COC11CCNCC1)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,CN(C)CCC1(OC=CC1=O)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,CCN(CC)CCC1(C)OC=C(C1=O)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,Cc1nc2cc(C)nc(C)n2c1CN1CCN(CC1)c1ccccn1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,COc1ccccc1N1CCN(CCCCNC(=O)c2cccc(c2)-c2cn(Cc3ccc(cc3)-c3ccc(Cn4cc(nn4)-c4cccc(c4)C(=O)NCCCCN4CCN(CC4)c4ccccc4OC)cc3)nn2)CC1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,C([C@H]1CNC(=N1)c1ccccc1)N1CCN(CC1)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D2,8IRS,C1CN(CCN1[C@@H]1CCNC(=NC1)c1ccccc1)c1ccccc1,Ki,10000,5
