protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D3,8IRT,CC[NH+](CC(=O)N1CCNC1=O)Cc1ccccc1Cl,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,O=C(N1CCN(CCc2ccccc2)CC1)C(=C\c1ccco1)\C#N,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CC(CNC(=O)c1cn2c(C)cccc2[nH+]1)[NH+](C)C,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCOC(=O)[C@@H]1CCC[NH+](CC(=O)N2CCNC2=O)C1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,C[NH+](C)C(CNC(=O)c1cn2c(C)cccc2[nH+]1)c1ccco1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,Clc1ccc(cc1)N1CCN(Cc2cccc3ccnn23)CC1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,Clc1ccc(cc1)N1CCN(Cc2cccc3ccnn23)CC1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,Cc1ccc(CNCC2(F)CCN(CC2)C(=O)c2ccc(F)c(Cl)c2)nc1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCCCN(CC)CC(C1C(=O)OC2C=CCC=C2C1=O)C(C)=O,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCCCN1CSC(=S)N(Cc2ccccc2)C1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,C(Cc1ccncc1)N1CCN2CCc3[nH]c4ccccc4c3C2C1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCOc1ccc(NC(=O)C2CCCN(CCc3ccccc3)C2)cc1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCCCCN1CCN(CC1)C(CC(=O)c1ccccc1)C(=O)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCCCN(CCCC)Cc1c(C)nc2cc(OC)ccc2c1O,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCn1c2ccccc2c2cc(NCCCN(C)C)ccc12,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCCN(CCC#N)CN1C(=O)c2ccccc2C1=O,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCCN(CCC)CN1C(=O)c2ccccc2C1=O,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CC(=O)NCC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCCCN1CN(CCCC)CN(C1)C(=S)c1c(Cl)cccc1Cl,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,O=C1N(CN(CCCN2CCOCC2)CCC#N)C(=O)c2ccccc12,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCC(=O)OC1(CCN(CCC(=O)c2ccccc2)CC1C)c1ccccc1,Ki,10000,5
Dopamine RECEPTOR D3,8IRT,CCSc1nnc2N(CCCn12)C(=O)CN1CCOCC1,Ki,9827,5.007579044
Dopamine RECEPTOR D3,8IRT,CCCN(CCC)[C@H]1CCn2ccc(CO)c2C1,Ki,9700,5.013228266
Dopamine RECEPTOR D3,8IRT,CC(C)(CO)[NH2+]Cc1ccc(o1)-c1ccccc1,Ki,9578,5.018725167
Dopamine RECEPTOR D3,8IRT,O[C@@H](C[NH+]1CCC(CC1)Oc1cccc(F)c1)c1cccs1,Ki,9461,5.024062958
Dopamine RECEPTOR D3,8IRT,Cc1cccn2ncc(CN3CCN(CC3)c3ccc(Cl)cc3)c12,Ki,9400,5.026872146
Dopamine RECEPTOR D3,8IRT,Cc1cccc(NC(=O)CCN2CCN(CC2)c2ncccn2)c1,Ki,9350,5.029188389
Dopamine RECEPTOR D3,8IRT,C([NH2+]Cc1ccc(Cn2ccnc2)cc1)c1c[nH]nc1-c1ccccc1,Ki,9306,5.031236952
Dopamine RECEPTOR D3,8IRT,C[C@H]1Cc2ccccc2N1C(=O)CC[NH+]1CCC(C)CC1,Ki,9282,5.032358436
Dopamine RECEPTOR D3,8IRT,CN1c2cc(ccc2[S+]([O-])c2ccccc2C1=O)C(=O)NCCc1cccs1,Ki,9200,5.036212173
