protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c(Br)cccc21,Ki,10000,5
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c(cccc21)C#N,Ki,10000,5
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c2cccc1N1CCCC1=O,Ki,10000,5
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c(\C=N\Oc3ccccc3)cccc21,Ki,10000,5
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c2cccc1-c1cccc(c1)C#N,Ki,10000,5
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c2cccc1-c1cccc(c1)[N+]([O-])=O,Ki,10000,5
Dopamine RECEPTOR D4,8IRU,COc1ccc(cc1)-c1cccc2[C@H]3[C@H](CCc12)N(C)CCc1cc(Cl)c(O)cc31,Ki,10000,5
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c2cccc1-c1cccs1,Ki,10000,5
Dopamine RECEPTOR D4,8IRU,OC1(CCN(CCCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccc(Cl)c(c1)C(F)(F)F,Ki,10000,5
Dopamine RECEPTOR D4,8IRU,C[C@H]1CC[C@H](C)N1CCCOc1ccc(cc1)-c1ccc(cc1)C(=O)N1CCOCC1,Ki,9772,5.010016542
Dopamine RECEPTOR D4,8IRU,COc1ccccc1N1CCN(C[C@H]2OCCOC2(c2ccccc2)c2ccccc2)CC1,Ki,9772,5.010016542
Dopamine RECEPTOR D4,8IRU,CCCN(CCC)[C@H]1CCn2c(C1)ccc2C#N,Ki,9700,5.013228266
Dopamine RECEPTOR D4,8IRU,COc1cc(CCNC[C@@H](O)c2ccc(O)c3[nH]c(=O)ccc23)ccc1OCCCc1ccccc1,Ki,9200,5.036212173
Dopamine RECEPTOR D4,8IRU,Fc1ccc(cc1)C(SCCNC1CCN(CC1)C(=O)c1ccc(F)cc1)c1ccc(F)cc1,Ki,9020,5.044793462
Dopamine RECEPTOR D4,8IRU,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12,Ki,9000,5.045757491
Dopamine RECEPTOR D4,8IRU,CCCCCCn1cc(CN2CCC(O)(CC2)c2ccc(Cl)cc2)c2ccccc12,Ki,8890,5.051098239
Dopamine RECEPTOR D4,8IRU,CCCN1CCOC2[C@@H]1CCc1ccc(O)cc21,Ki,8670,5.061980903
Dopamine RECEPTOR D4,8IRU,Clc1cccc(N2CCN(CCC(C#N)(c3ccccc3)c3ccccc3)CC2)c1Cl,Ki,8490,5.07109231
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c(\C=N\OCc3ccccc3)cccc21,Ki,8344,5.078625705
Dopamine RECEPTOR D4,8IRU,COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)c1ccco1,Ki,8300,5.080921908
Dopamine RECEPTOR D4,8IRU,OC1(CC2CCC(C1)N2Cc1c[nH]c2ncccc12)c1ccc(Cl)cc1,Ki,7873,5.103859749
Dopamine RECEPTOR D4,8IRU,Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O,Ki,7846,5.105351696
Dopamine RECEPTOR D4,8IRU,CCCN1CCN(CC1)c1ccc(O)c2[nH]c(=O)ccc12,Ki,7600,5.119186408
Dopamine RECEPTOR D4,8IRU,CO\N=C\c1cccc2[C@H]3[C@H](CCc12)N(C)CCc1cc(Cl)c(O)cc31,Ki,7506,5.12459144
Dopamine RECEPTOR D4,8IRU,Fc1ccc(cc1)-n1cc(C2CCN(CCN3CCOC3=O)CC2)c2cc(ccc12)-c1ncccn1,Ki,7500,5.124938737
Dopamine RECEPTOR D4,8IRU,CCCN(CCC)C1CCc2cccc(O)c2C1,Ki,7310,5.136082623
Dopamine RECEPTOR D4,8IRU,CN1CCN(Cc2cnn3ccccc23)CC1,Ki,7300,5.13667714
Dopamine RECEPTOR D4,8IRU,CC1Cc2ccccc2N1C(=O)CN1CCC(Cc2ccc(Cl)cc2)CC1,Ki,7264,5.138824164
Dopamine RECEPTOR D4,8IRU,CN1CCN(Cc2cnn3ccccc23)CC1,Ki,7240,5.140261434
Dopamine RECEPTOR D4,8IRU,CN1CCC(CCN2CCC(CC2)c2cn(-c3ccc(F)cc3)c3ccc(cc23)-c2ncn(C)n2)C1=O,Ki,7200,5.142667504
Dopamine RECEPTOR D4,8IRU,CCN1C(=O)C(CC)(N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc12,Ki,7018,5.153786636
Dopamine RECEPTOR D4,8IRU,COc1cc(N(C)C(C)=O)c(Cl)cc1C(=O)NC[C@H]1CCN(Cc2ccccc2)C1,Ki,7000,5.15490196
Dopamine RECEPTOR D4,8IRU,CCCN1COC[C@H]2[C@H]1COc1ccc(O)cc21,Ki,7000,5.15490196
Dopamine RECEPTOR D4,8IRU,Fc1ccc(cc1)-n1cc(C2CCN(CCC#N)CC2)c2cc(ccc12)-c1ncccn1,Ki,7000,5.15490196
Dopamine RECEPTOR D4,8IRU,Cc1ncc2nccn2c1-c1ccc(Oc2nccc3occc23)cc1C(F)(F)F,Ki,6900,5.161150909
Dopamine RECEPTOR D4,8IRU,FC(F)(F)c1cc(Oc2nccc3occc23)ccc1-c1cccc2nccn12,Ki,6900,5.161150909
Dopamine RECEPTOR D4,8IRU,CCOC(=O)c1cnn2cccc(CN3CCN(CC3)c3ccc(Cl)cc3)c12,Ki,6800,5.167491087
Dopamine RECEPTOR D4,8IRU,CCCN(CCC)C1CCc2cccc(O)c2C1,Ki,6770,5.169411331
Dopamine RECEPTOR D4,8IRU,CCCN1CCN(CC1)c1ccc2CCCC(N(C)C(=O)OCc3ccccc3)c2c1,Ki,6660,5.176525771
Dopamine RECEPTOR D4,8IRU,C[C@H]1CO[C@H](CN1CC1CC1CCNC(=O)c1cc2ccccc2[nH]1)c1ccc(N)nc1,Ki,6650,5.177178355
Dopamine RECEPTOR D4,8IRU,COc1ccc2C(Cc3ccccc3C)N(C)CCc2c1,Ki,6644,5.177570376
Dopamine RECEPTOR D4,8IRU,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CCCCNCCC(C(=O)N(C)C)(c2ccccc2)c2ccccc2)c1O,Ki,6610,5.179798541
Dopamine RECEPTOR D4,8IRU,C(CN1CCOCC1)Oc1ccccc1Cc1ccccc1,Ki,6484,5.188156994
Dopamine RECEPTOR D4,8IRU,O=C(CN1CCN(CC1)c1ccccn1)Nc1cccnc1,Ki,6407,5.193345276
Dopamine RECEPTOR D4,8IRU,CC1NCCc2cc(O)c(O)cc12,Ki,6400,5.193820026
Dopamine RECEPTOR D4,8IRU,Cn1ccc(n1)-c1ccc2n(cc(C3CCN(CCN4CCNC4=O)CC3)c2c1)-c1ccc(F)cc1,Ki,6400,5.193820026
Dopamine RECEPTOR D4,8IRU,CCCN(CCC)C1CCn2ncc(Cl)c2C1,Ki,6400,5.193820026
