protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D5,8IRV,CN[C@@H]1Cc2cc(F)c(O)cc2[C@H]1c1ccccc1,Ki,9600,5.017728767
Dopamine RECEPTOR D5,8IRV,N[C@@H]1Cc2cc(F)c(O)cc2[C@H]1c1ccccc1,Ki,9600,5.017728767
Dopamine RECEPTOR D5,8IRV,Oc1ccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c2ccc(=O)[nH]c12,Ki,9300,5.031517051
Dopamine RECEPTOR D5,8IRV,Cl.CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)CC1CC1c1ccc(Cl)cc1,Ki,9290,5.031984286
Dopamine RECEPTOR D5,8IRV,CN(CC=C)[C@@H]1Cc2cc(O)c(F)cc2[C@H]1c1ccccc1,Ki,9000,5.045757491
Dopamine RECEPTOR D5,8IRV,Cl.CCCN(CCCCNC(=O)c1ccc(cc1)-c1ccccn1)CC1CC1c1ccc(Cl)cc1,Ki,8844,5.053351266
Dopamine RECEPTOR D5,8IRV,Cl.CCCN(CCCCNC(=O)c1ccc2ccccc2c1)CC1CC1c1cccc(Cl)c1,Ki,8670,5.061980903
Dopamine RECEPTOR D5,8IRV,N[C@@H]1Cc2cc(O)c(F)cc2[C@H]1c1ccccc1,Ki,8300,5.080921908
Dopamine RECEPTOR D5,8IRV,Cl.CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)CC1CC1c1ccc(cc1)C(F)(F)F,Ki,8191,5.086663074
Dopamine RECEPTOR D5,8IRV,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2cccc(Cl)c2Cl)CC1,Ki,7900,5.102372909
Dopamine RECEPTOR D5,8IRV,Cl.CCCN(CCCCNC(=O)c1ccc(cc1)-c1ccccn1)CC1CC1c1ccc(cc1)C(F)(F)F,Ki,7703,5.113340102
Dopamine RECEPTOR D5,8IRV,CN(C)[C@@H]1Cc2cc(F)c(O)cc2[C@H]1c1ccccc1,Ki,7700,5.113509275
Dopamine RECEPTOR D5,8IRV,Oc1ccc(N2CCN(CCCCOc3ccn4ncc(C=O)c4c3)CC2)c2OCC(=O)Nc12,Ki,7700,5.113509275
Dopamine RECEPTOR D5,8IRV,COc1cc2C[C@H]([C@@H](c2cc1F)c1ccccc1)N(C)C,Ki,7600,5.119186408
Dopamine RECEPTOR D5,8IRV,COc1c(OCCF)cccc1[C@H](O)C1CCN(CCc2ccc(F)cc2)CC1,Ki,7419,5.129654629
Dopamine RECEPTOR D5,8IRV,COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,Ki,7398,5.130885673
Dopamine RECEPTOR D5,8IRV,CN[C@@H]1Cc2cc(O)c(F)cc2[C@H]1c1ccccc1,Ki,7200,5.142667504
Dopamine RECEPTOR D5,8IRV,CCCN(CCCCNC(=O)\N=N\c1ccc(F)cc1)C1Cc2ccccc2C1,Ki,7000,5.15490196
Dopamine RECEPTOR D5,8IRV,Cl.CCCN(CCCCNC(=O)c1ccc2ccccc2c1)CC1CC1c1ccc(Cl)cc1,Ki,6109,5.214029875
